variable,PC1,PC2,PC3,PC4,PC5
intensidad,0.7593825150779302,0.013724966380359613,7.114482241311655e-4,4.413586147736827e-4,0.22573971170280532
ocupacion,0.10890742102024928,0.0771563397596973,0.6004843671783988,0.1997517057855064,0.01370016625614827
hour_sin,0.00430488501711137,0.4508380739776479,0.3204499968001304,0.21505507382121797,0.009351970383892379
hour_cos,0.10603515503584653,0.58159194657522,0.007030222565073725,0.2925747097965307,0.012767966027329056
vmed,0.588689235974012,0.06383628094506143,0.14976886107534537,0.010169684178666531,0.18753593782691472
