rows_per_expediente,expediente_count,source
1,34481,raw
2,85339,raw
3,9490,raw
4,14635,raw
5,648,raw
6,1632,raw
7,75,raw
8,376,raw
9,17,raw
10,102,raw
11,5,raw
12,34,raw
13,3,raw
14,21,raw
15,1,raw
16,7,raw
17,1,raw
18,5,raw
19,1,raw
20,4,raw
22,2,raw
23,1,raw
28,1,raw
30,1,raw
38,1,raw
