run_name,period_used,variables,n_used,variance_pc1,variance_pc2,cumulative_variance_pc1_pc2,main_interpretation_note
baseline_recent,2020-2024,"intensidad, ocupacion, hour_sin, hour_cos",79088,32.916286216109455,28.829148403046418,61.74543461915587,"baseline_recent: PC1 queda dominado por ocupacion + hour_cos; PC2 queda dominado por hour_sin + hour_cos. Interpretar como estructura latente/redundancia, no como escala directa de riesgo."
baseline_full_period,2016-2024,"intensidad, ocupacion, hour_sin, hour_cos",120195,32.79516552537173,29.055775971502015,61.850941496873745,"baseline_full_period: PC1 queda dominado por hour_cos + intensidad; PC2 queda dominado por hour_sin + hour_cos. Interpretar como estructura latente/redundancia, no como escala directa de riesgo."
with_vmed_recent,2020-2024,"intensidad, ocupacion, hour_sin, hour_cos, vmed",79066,31.34638424250293,23.742952152759656,55.089336395262585,"with_vmed_recent: PC1 queda dominado por intensidad + vmed; PC2 queda dominado por hour_cos + hour_sin. Interpretar como estructura latente/redundancia, no como escala directa de riesgo."
with_weekend_recent,2020-2024,"intensidad, ocupacion, hour_sin, hour_cos, is_weekend",79088,28.95055811082629,23.20456289605091,52.155121006877195,"with_weekend_recent: PC1 queda dominado por ocupacion + intensidad; PC2 queda dominado por hour_sin + hour_cos. Interpretar como estructura latente/redundancia, no como escala directa de riesgo."
