rows_per_expediente,expediente_count,source
1,42505,after_exact_dedup
2,93429,after_exact_dedup
3,9339,after_exact_dedup
4,1306,after_exact_dedup
5,235,after_exact_dedup
6,46,after_exact_dedup
7,13,after_exact_dedup
8,6,after_exact_dedup
9,2,after_exact_dedup
10,1,after_exact_dedup
13,1,after_exact_dedup
