variable,PC1,PC2,PC3,PC4
intensidad,0.4335588250021163,0.08121094095860076,0.41358158899526876,0.07164864504401415
ocupacion,0.44446587746595745,0.06688951181584334,0.41688433720580026,0.07176027351239896
hour_sin,0.0015269595900138937,0.761991872434125,1.717637022953831e-4,0.2363094042735657
hour_cos,0.43709978658628473,0.24307361091329505,9.635397866244909e-5,0.3197302485217577
