parameter,parameter_type,coefficient,exp_coefficient,absolute_coefficient,rank_by_absolute_value
intercept,intercept,-2.8994291614253385,0.05505463839946544,2.8994291614253385,0
is_weekend_int,feature,-1.1469015322764697,0.31761937969610393,1.1469015322764697,1
hour_sin,feature,-0.5248873929751314,0.5916219814071444,0.5248873929751314,2
hour_cos,feature,-0.3724675025996651,0.6890320429441911,0.3724675025996651,3
log1p_edge_accident_count_prior_recent_3y,feature,0.27457310974662424,1.315968780696356,0.27457310974662424,4
log1p_edge_accident_count_prior_1y,feature,0.24874520937484393,1.2824152440584475,0.24874520937484393,5
log1p_edge_bin_accident_count_prior_1y,feature,0.23766839160141012,1.2682885479497432,0.23766839160141012,6
log1p_edge_accident_count_prior_total,feature,0.22363375550732256,1.2506129054535293,0.22363375550732256,7
log1p_edge_bin_accident_count_prior_recent_3y,feature,0.14728278633788963,1.1586815760250968,0.14728278633788963,8
analysis_year_offset,feature,-0.13545894054893406,0.8733150200276678,0.13545894054893406,9
log1p_edge_bin_accident_count_prior,feature,0.09807464631665493,1.1030451202907943,0.09807464631665493,10
log_edge_length_m,feature,0.06577318084369417,1.0679844503596774,0.06577318084369417,11
