model_name,split,segment,rows_n,positive_rows_n,zero_rows_n,zero_rows_pct,target_mean,target_variance,predicted_mean,predicted_p50,predicted_p95,predicted_p99,mean_poisson_deviance,mae,rmse,pearson_dispersion,calibration_bins_n,calibration_mean_abs_gap,calibration_max_abs_gap,fit_method,alpha_estimate,overdispersion_flag
poisson_a2,train,all,2385168,85888,2299280,96.39907964554278,0.03924293802365284,0.05316347601571976,0.03927571777753421,0.025427591589964917,0.1077733713028883,0.20164523195747255,0.23047060526474417,0.07182744643580005,0.21539433012913534,1.102973277903155,10.0,0.0030397981290541188,0.005352650736024964,sklearn.PoissonRegressor,0.0,False
poisson_a2,validation,all,510060,19416,490644,96.19338901305728,0.040120770105477786,0.043914379799481144,0.0271251036646213,0.01618197751338612,0.07422509917569187,0.1540119774308124,0.23375196601653841,0.06247105429452591,0.20386751768658404,1.4932398642776017,10.0,0.012995666440856488,0.05993409276029506,sklearn.PoissonRegressor,0.0,False
poisson_a2,test,all,375408,19366,356042,94.84134594894088,0.05460725397434258,0.059499401434145525,0.02432861265106044,0.014063499750759503,0.06701508630008364,0.15034082899550844,0.2994259728556387,0.07270162625509693,0.23726400715758014,2.1665852125003524,10.0,0.030278561215425038,0.14298391260332718,sklearn.PoissonRegressor,0.0,True
poisson_a2,test,positive_obs,19366,19366,0,0.0,1.05855623257255,0.09065358010241634,0.06043491067539551,0.03883006866125577,0.18246900883977452,0.391184239001508,4.981997260242198,0.9981410085306123,1.034154191634016,,,,,sklearn.PoissonRegressor,0.0,
poisson_a2,test,zero_obs,356042,0,356042,100.0,0.0,0.0,0.022364702304698853,0.013794726400572456,0.05884978979407289,0.12643408104515919,0.044729404609397706,0.022364702304698853,0.034421214578016904,,,,,sklearn.PoissonRegressor,0.0,
poisson_a2,train,positive_obs,85888,85888,0,0.0,1.0898029992548435,0.3314822730386711,0.09428772112700019,0.05644837395127766,0.2448801917916244,0.673822598140431,4.407473800325997,0.9982712990468348,1.0935318637901534,,,,,sklearn.PoissonRegressor,0.0,
poisson_a2,train,zero_obs,2299280,0,2299280,100.0,0.0,0.0,0.03722078277889161,0.024780850702781576,0.10238631822226894,0.18524570749729752,0.07444156555778322,0.03722078277889161,0.05881359753880851,,,,,sklearn.PoissonRegressor,0.0,
poisson_a2,validation,positive_obs,19416,19416,0,0.0,1.053976102183766,0.08505526601316576,0.06272822628981868,0.042994300268171824,0.18776818237743836,0.39679435165760546,4.8409831849674685,0.9912694077014971,1.0265454622457102,,,,,sklearn.PoissonRegressor,0.0,
poisson_a2,validation,zero_obs,490644,0,490644,100.0,0.0,0.0,0.02571619979768145,0.015966447940177632,0.06893925145231654,0.13806398088783178,0.0514323995953629,0.02571619979768145,0.0387990950973138,,,,,sklearn.PoissonRegressor,0.0,
negative_binomial_b2,train,all,2385168,85888,2299280,96.39907964554278,0.03924293802365284,0.05316347601571976,0.03909705601523713,0.025507129896481094,0.10785584723097329,0.19830362470271848,0.23050961970043735,0.07187543079708325,0.21658866348714467,1.061891553147652,10.0,0.0026690646544475487,0.004598441924138955,statsmodels.discrete.NegativeBinomial_mle,0.9828691185584942,False
negative_binomial_b2,validation,all,510060,19416,490644,96.19338901305728,0.040120770105477786,0.043914379799481144,0.027265726512927677,0.016311088376198827,0.0752680215875228,0.15196669384507053,0.23345631597245892,0.06264667935644468,0.20398178190510297,1.4420552215941076,10.0,0.012855043592550122,0.06036116514986051,statsmodels.discrete.NegativeBinomial_mle,0.9828691185584942,False
negative_binomial_b2,test,all,375408,19366,356042,94.84134594894088,0.05460725397434258,0.059499401434145525,0.024487825742495962,0.014185033852564328,0.0683624504305171,0.14885764170275104,0.29856759103841585,0.07290046696896935,0.23746481926140883,2.0872494307604494,10.0,0.030119354696561334,0.14390899356147535,statsmodels.discrete.NegativeBinomial_mle,0.9828691185584942,True
negative_binomial_b2,test,positive_obs,19366,19366,0,0.0,1.05855623257255,0.09065358010241634,0.06004477800546468,0.03930522759932545,0.18027151623100052,0.3679391048280817,4.958404687884921,0.9985190534132888,1.0351453485516402,,,,,statsmodels.discrete.NegativeBinomial_mle,0.9828691185584942,
negative_binomial_b2,test,zero_obs,356042,0,356042,100.0,0.0,0.0,0.02255379566311024,0.01390065100177387,0.06031477630231248,0.12672151875236448,0.04510759132622048,0.02255379566311024,0.03426043850817673,,,,,statsmodels.discrete.NegativeBinomial_mle,0.9828691185584942,
negative_binomial_b2,train,positive_obs,85888,85888,0,0.0,1.0898029992548435,0.3314822730386711,0.0905516810787782,0.056766706255861124,0.23800604464477537,0.6206975216046889,4.411008294140496,1.0008293755374502,1.1022865752831552,,,,,statsmodels.discrete.NegativeBinomial_mle,0.9828691185584942,
negative_binomial_b2,train,zero_obs,2299280,0,2299280,100.0,0.0,0.0,0.03717500440018483,0.024842646977493214,0.10273697420991622,0.18286586175098044,0.07435000880036965,0.03717500440018483,0.05723769035812894,,,,,statsmodels.discrete.NegativeBinomial_mle,0.9828691185584942,
negative_binomial_b2,validation,positive_obs,19416,19416,0,0.0,1.053976102183766,0.08505526601316576,0.06225770479593415,0.04332848768607774,0.18333760556485684,0.37234058784026197,4.824887040954898,0.9917183973878319,1.027422091713739,,,,,statsmodels.discrete.NegativeBinomial_mle,0.9828691185584942,
negative_binomial_b2,validation,zero_obs,490644,0,490644,100.0,0.0,0.0,0.02588100714339935,0.016072753099992374,0.07033189831025002,0.13718368039942044,0.0517620142867987,0.02588100714339935,0.038504072262784995,,,,,statsmodels.discrete.NegativeBinomial_mle,0.9828691185584942,
