model_label,family,split,scope,n_rows,target_mean,target_variance,zero_pct,mean_poisson_deviance,mae,rmse,pearson_dispersion,calibration_mean_abs_gap_decile
pilot_with_traffic_d,poisson,train,overall,149208,0.023014851750576378,0.022793615574929604,97.7139,0.16043809877929274,0.04426745759852305,0.14975601836450597,1.0248252829670945,0.0026515990637097906
pilot_with_traffic_d,poisson,train,covered_only,135237,0.023322019861428456,0.02308883987515938,97.6833,0.16234557379633766,0.044846366864385125,0.15073916766847356,1.0270705090851002,0.0026379549701786237
pilot_with_traffic_d,poisson,train,positive_only,3411,1.006742890647904,0.006699388127594785,0.0,5.081673711315682,0.9681997674227404,0.9717923192246486,43.855212469626615,0.9681906698643379
pilot_with_traffic_d,poisson,train,zero_only,145797,0.0,0.0,100.0,0.04530311881151817,0.022651559405759084,0.029279061151805768,0.022651559405759084,0.022651488383552555
pilot_with_traffic_d,poisson,validation,overall,74604,0.021607420513645382,0.02181103760079359,97.8674,0.15450154861339035,0.03739084115963564,0.1467107424394966,0.6332853351682276,0.004616793248052141
pilot_with_traffic_d,poisson,validation,covered_only,67249,0.022082112745170933,0.022338330694941438,97.823,0.15683673475777798,0.03810517731310329,0.14845249681934342,1.250432866050577,0.0048075547211829765
pilot_with_traffic_d,poisson,validation,positive_only,1591,1.0131992457573853,0.018064664049745223,0.0,5.7079567841812064,0.9848957695241488,0.9939043766113184,58.61512804767578,0.9848895599048074
pilot_with_traffic_d,poisson,validation,zero_only,73013,0.0,0.0,100.0,0.033488204691234064,0.016744102345617032,0.021616428413998,0.016744102345617032,0.016743957951528533
pilot_with_traffic_d,poisson,test,overall,74604,0.02615141279287974,0.026004029243342643,97.409,0.18077370049810984,0.04045224695985324,0.16028807306054407,431195.9584412659,0.010489439908025932
pilot_with_traffic_d,poisson,test,covered_only,66417,0.026423957721667644,0.02632838403695606,97.3847,0.1824334162914251,0.04111173427847557,0.16127200730030086,968572.5049307386,0.010396823734517616
pilot_with_traffic_d,poisson,test,positive_only,1933,1.0093119503362649,0.011300406259807058,0.0,5.819627626983895,0.9825912869593026,0.9882177134014919,33279716.878087707,0.9825817598342812
pilot_with_traffic_d,poisson,test,zero_only,72671,0.0,0.0,100.0,0.03078395713559904,0.01539197856779952,0.019986033727837225,0.01539197856779952,0.015392150666329327
