rows_n,positive_rows_n,zero_rows_n,zero_rows_pct,target_mean,target_variance,predicted_mean,predicted_p50,predicted_p95,predicted_p99,mean_poisson_deviance,mae,rmse,calibration_bins_n,calibration_mean_abs_gap,calibration_max_abs_gap,fit_method,pearson_dispersion,alpha_estimate,overdispersion_flag,split,model_name,segment,converged
2385168,85888,2299280,96.39907964554278,0.03924293802365284,0.05316347601571976,0.039235449927988636,0.024816136732337263,0.10747140716871244,0.19838295832340658,0.23035550607948513,0.07199294287343294,0.21825426419708013,10.0,0.002319557536321044,0.0046516300218470905,sklearn.PoissonRegressor,1.0879866571431978,0.0,False,train,poisson_a3,all,
510060,19416,490644,96.19338901305728,0.040120770105477786,0.043914379799481144,0.02878256618578999,0.01690819268989549,0.08066554252116177,0.16414025382265574,0.23229839335143374,0.06381002204808929,0.20350851790282665,10.0,0.011338203919687801,0.05184517788039221,sklearn.PoissonRegressor,1.4106772822603515,0.0,False,validation,poisson_a3,all,
375408,19366,356042,94.84134594894088,0.05460725397434258,0.059499401434145525,0.026692999049691527,0.015139747829923212,0.074984564689511,0.16644561858646384,0.29408979124438867,0.07440069448929203,0.23628780152231552,10.0,0.02791419037155866,0.1292756468436259,sklearn.PoissonRegressor,1.9843910447118882,0.0,True,test,poisson_a3,all,
19366,19366,0,0.0,1.05855623257255,0.09065358010241634,0.06695171024399145,0.04229569734102009,0.20402626277576597,0.4373053407199229,4.7999227108411935,0.9917606810995911,1.0274928617741694,,,,sklearn.PoissonRegressor,,0.0,,test,poisson_a3,positive_obs,
356042,0,356042,100.0,0.0,0.0,0.024503228738916905,0.014831394435593372,0.06680432686947504,0.14064128928680336,0.04900645747783381,0.024503228738916905,0.03800499799013194,,,,sklearn.PoissonRegressor,,0.0,,test,poisson_a3,zero_obs,
85888,85888,0,0.0,1.0898029992548435,0.3314822730386711,0.09116722907306078,0.056554376122922745,0.23406976107285127,0.6176623788484236,4.4002729647700045,1.0008650207750394,1.1064160786112027,,,,sklearn.PoissonRegressor,,0.0,,train,poisson_a3,positive_obs,
2299280,0,2299280,100.0,0.0,0.0,0.03729557455517109,0.024093909867158106,0.10220382531954961,0.19021284183202067,0.07459114911034218,0.03729557455517109,0.06071885920466333,,,,sklearn.PoissonRegressor,,0.0,,train,poisson_a3,zero_obs,
19416,19416,0,0.0,1.053976102183766,0.08505526601316576,0.06697604032384909,0.04543762794862999,0.19805199754117103,0.4230499224087921,4.724209965659246,0.987150336632274,1.022329024566089,,,,sklearn.PoissonRegressor,,0.0,,validation,poisson_a3,positive_obs,
490644,0,490644,100.0,0.0,0.0,0.027271155684765708,0.01665588603452478,0.07569393128758227,0.14700492332760293,0.054542311369531415,0.027271155684765708,0.04117279709066653,,,,sklearn.PoissonRegressor,,0.0,,validation,poisson_a3,zero_obs,
2385168,85888,2299280,96.39907964554278,0.03924293802365284,0.05316347601571976,0.03909715187084599,0.02484490094235489,0.10714147487399345,0.1975677981805917,0.23036745471596623,0.07198289991808642,0.2189306355018232,10.0,0.002650281249570491,0.004477651936070852,statsmodels.discrete.NegativeBinomial_mle,1.048396353031042,1.0095086494380527,False,train,negative_binomial_b3,all,True
510060,19416,490644,96.19338901305728,0.040120770105477786,0.043914379799481144,0.029388261073520466,0.017399607101132624,0.08234500623342463,0.16599360351674683,0.2317820489315956,0.06435958927288095,0.2035386115189457,10.0,0.010911981323565518,0.05109087078199219,statsmodels.discrete.NegativeBinomial_mle,1.3420712582134406,1.0095086494380527,False,validation,negative_binomial_b3,all,True
375408,19366,356042,94.84134594894088,0.05460725397434258,0.059499401434145525,0.027378834363698062,0.015644442751670786,0.07717259481069412,0.16877902617488602,0.29240639186028666,0.074995179403427,0.2363080852882976,10.0,0.027228352018594117,0.1286138907822556,statsmodels.discrete.NegativeBinomial_mle,1.8729345015299739,1.0095086494380527,True,test,negative_binomial_b3,all,True
19366,19366,0,0.0,1.05855623257255,0.09065358010241634,0.06781568449651817,0.043711001497891575,0.20638002178233592,0.42584721156095134,4.742428428472134,0.9908538368601745,1.0271154162081004,,,,statsmodels.discrete.NegativeBinomial_mle,,1.0095086494380527,,test,negative_binomial_b3,positive_obs,
356042,0,356042,100.0,0.0,0.0,0.025179374637957278,0.01529240677574981,0.06826911277532144,0.1432160490544485,0.050358749275914556,0.025179374637957278,0.038686804051257545,,,,statsmodels.discrete.NegativeBinomial_mle,,1.0095086494380527,,test,negative_binomial_b3,zero_obs,
85888,85888,0,0.0,1.0898029992548435,0.3314822730386711,0.08905692527746954,0.056978233955978966,0.23256204784416867,0.5911443103890704,4.4040654405676065,1.002316448125136,1.1127984628858778,,,,statsmodels.discrete.NegativeBinomial_mle,,1.0095086494380527,,train,negative_binomial_b3,positive_obs,
