model_name,split,segment,rows_n,positive_rows_n,zero_rows_n,zero_rows_pct,target_mean,target_variance,predicted_mean,predicted_p50,predicted_p95,predicted_p99,mean_poisson_deviance,mae,rmse,pearson_dispersion,calibration_bins_n,calibration_mean_abs_gap,calibration_max_abs_gap,fit_method,alpha_estimate,overdispersion_flag
poisson_baseline_a,train,all,2385168,85888,2299280,96.39907964554278,0.0392429380236528,0.0531634760157197,0.0392502663050932,0.0256251093431372,0.10954254455962549,0.203380548731525,0.2314310348096586,0.0722348064855507,0.2200619823377476,1.1058499668587118,10.0,0.002976365727808,0.0055035050440651,sklearn.PoissonRegressor,0.0,False
poisson_baseline_a,validation,all,510060,19416,490644,96.19338901305728,0.0401207701054777,0.0439143797994811,0.0278768563853613,0.0149862736920095,0.08183292108707316,0.18065788003619154,0.2324696299665047,0.0627689227586265,0.2042624596863863,1.5048160322988475,10.0,0.0122439137201164,0.0517340497952169,sklearn.PoissonRegressor,0.0,True
poisson_baseline_a,test,all,375408,19366,356042,94.84134594894088,0.0546072539743425,0.0594994014341455,0.0251479364882924,0.01272366433576695,0.07498002131665726,0.18372485332458996,0.2954140860954617,0.0727300979959024,0.2368622559973684,2.176845689866842,10.0,0.029459241472823,0.1352623532725141,sklearn.PoissonRegressor,0.0,True
poisson_baseline_a,test,positive_obs,19366,19366,0,0.0,1.05855623257255,0.09065358010241634,0.06844485368046455,0.03693612243718685,0.2240173840487102,0.48765956225399276,4.8884820935290305,0.9908203616453957,1.0283261357588354,,,,,sklearn.PoissonRegressor,0.0,
poisson_baseline_a,test,zero_obs,356042,0,356042,100.0,0.0,0.0,0.022792910681383043,0.01244367842844175,0.06559667515175234,0.15287017151138735,0.04558582136276609,0.022792910681383043,0.04046961218007406,,,,,sklearn.PoissonRegressor,0.0,
poisson_baseline_a,train,positive_obs,85888,85888,0,0.0,1.0898029992548435,0.3314822730386711,0.08759871343012023,0.055535953116965006,0.2378125718706464,0.5836888410132732,4.422181173950766,1.0036017608074186,1.117760664476029,,,,,sklearn.PoissonRegressor,0.0,
poisson_baseline_a,train,zero_obs,2299280,0,2299280,100.0,0.0,0.0,0.03744424379949389,0.025054307055617252,0.1040316718765797,0.18733087950065455,0.07488848759898778,0.03744424379949389,0.05971760633174537,,,,,sklearn.PoissonRegressor,0.0,
poisson_baseline_a,validation,positive_obs,19416,19416,0,0.0,1.053976102183766,0.08505526601316576,0.06905548405304802,0.04088774458625415,0.22307926057008926,0.4785039524200872,4.780453403462537,0.9856730867697586,1.0225104237642297,,,,,sklearn.PoissonRegressor,0.0,
poisson_baseline_a,validation,zero_obs,490644,0,490644,100.0,0.0,0.0,0.026247315955241306,0.0147315210646826,0.07413455994843046,0.1600899699122325,0.05249463191048261,0.026247315955241306,0.04472272440434532,,,,,sklearn.PoissonRegressor,0.0,
negative_binomial_baseline_b,train,all,2385168,85888,2299280,96.39907964554278,0.03924293802365284,0.05316347601571976,0.039089895840642055,0.025677978027788206,0.10910215225167913,0.1986003428865781,0.23146299137650259,0.07222955557021778,0.2208226254491933,1.0571235443465774,10.0,0.002676035165605402,0.004823571514155231,statsmodels.discrete.NegativeBinomial_mle,1.1048209247547707,False
