feature,coefficient,exp_coefficient,absolute_coefficient,rank_by_absolute_value
intercept,-2.785140007712704,0.06172044708737977,2.785140007712704,0
is_weekend_int,-1.147099229610776,0.3175565933979604,1.147099229610776,1
log1p_edge_accident_count_prior_total,0.623528934014882,1.865499664836477,0.623528934014882,2
hour_sin,-0.5247447242513013,0.5917063933815528,0.5247447242513013,3
hour_cos,-0.37108142407936023,0.6899877576535219,0.37108142407936023,4
log1p_edge_bin_accident_count_prior,0.37081039136696636,1.4489083218135426,0.37081039136696636,5
analysis_year_offset,-0.15983155288974246,0.8522873422152122,0.15983155288974246,6
log_edge_length_m,0.0563395346614095,1.0579568357768991,0.0563395346614095,7
