parameter,parameter_type,coefficient,exp_coefficient,absolute_coefficient,rank_by_absolute_value
intercept,intercept,-3.1211496206006113,0.044106433597698905,3.1211496206006113,0
is_weekend_int,feature,-1.1386945797236234,0.3202367926761017,1.1386945797236234,1
prior_dynamic_context_recent_missing_flag,feature,0.585222826963951,1.7953910025971767,0.585222826963951,2
log1p_edge_accident_count_prior_recent_3y,feature,0.5732097136715582,1.7739518006919142,0.5732097136715582,3
hour_sin,feature,-0.5211305774872362,0.5938487762395127,0.5211305774872362,4
log1p_edge_bin_accident_count_prior_recent_3y,feature,0.4068497563595946,1.5020784109791396,0.4068497563595946,5
hour_cos,feature,-0.3654730475975185,0.6938683404794206,0.3654730475975185,6
log1p_edge_accident_count_prior_total,feature,0.11654075085760648,1.1236032973322465,0.11654075085760648,7
ctx_recent_fallback_edge_bin_weekend,feature,-0.1135876075273371,0.8926259922295815,0.1135876075273371,8
analysis_year_offset,feature,-0.10613423156394501,0.8993039250013669,0.10613423156394501,9
log1p_edge_bin_accident_count_prior,feature,0.06730415919900702,1.069620763697528,0.06730415919900702,10
log_edge_length_m,feature,0.06227893268926209,1.064259159999939,0.06227893268926209,11
ctx_recent_fallback_global_bin_weekend,feature,0.03116555958029463,1.0316562903309021,0.03116555958029463,12
ctx_recent_fallback_edge_bin,feature,0.029302499776794656,1.0297360422892587,0.029302499776794656,13
log1p_prior_context_observation_n_recent_3y,feature,0.0024765717720895255,1.0024796410091663,0.0024765717720895255,14
prior_dynamic_context_signal_recent_3y_imputed,feature,0.001136320469975971,1.0011369663266914,0.001136320469975971,15
