pipeline_name,default_active,selected_baseline_model,selected_baseline_family,selected_feature_block,target_column,modeling_unit,scope_restriction,traffic_block_active,activation_mode,notes
global_default_model,True,negative_binomial_b4,negative_binomial,history_plus_contextual_lag_safe_plus_exogenous,accident_count,edge_id + analysis_year + temporal_bin_4h + is_weekend,global_2016_2024_branch,False,default,global scoring uses the selected baseline only; pilot traffic remains disabled
pilot_traffic_model,False,pilot_with_traffic_d,poisson,pilot_traffic_d_transformed,pilot_accident_count,edge_id + analysis_year + month + temporal_bin_4h + is_weekend,"analysis_year=2024 and month in (1,4,7,10)",True,explicit_opt_in_only,pilot branch remains documented but inactive in this global scoring phase
