parameter,parameter_type,coefficient,exp_coefficient,absolute_coefficient,rank_by_absolute_value
alpha,dispersion,0.9828691185584942,,0.9828691185584942,3
is_weekend_int,feature,-1.150901559899409,0.3163514310092458,1.150901559899409,2
hour_sin,feature,-0.5317742850395321,0.587561542628696,0.5317742850395321,4
hour_cos,feature,-0.37373040306495703,0.6881624132999793,0.37373040306495703,5
log1p_edge_accident_count_prior_recent_3y,feature,0.28770218653157975,1.3333601523761176,0.28770218653157975,6
log1p_edge_accident_count_prior_total,feature,0.2658067873668515,1.304482991742721,0.2658067873668515,7
log1p_edge_bin_accident_count_prior_1y,feature,0.21687677844440634,1.2421910279961266,0.21687677844440634,8
log1p_edge_bin_accident_count_prior_recent_3y,feature,0.2133584140470158,1.2378282267712697,0.2133584140470158,9
log1p_edge_accident_count_prior_1y,feature,0.15617944146854762,1.1690359577990121,0.15617944146854762,10
analysis_year_offset,feature,-0.1345928170083584,0.8740717463868026,0.1345928170083584,11
log_edge_length_m,feature,0.07020815762701522,1.0727314552494671,0.07020815762701522,12
log1p_edge_bin_accident_count_prior,feature,0.009836423164704485,1.0098849597867585,0.009836423164704485,13
intercept,intercept,-2.917203384497563,0.05408473019236753,2.917203384497563,1
