rows_n,positive_rows_n,zero_rows_n,zero_rows_pct,target_mean,target_variance,predicted_mean,predicted_p50,predicted_p95,predicted_p99,mean_poisson_deviance,mae,rmse,calibration_bins_n,calibration_mean_abs_gap,calibration_max_abs_gap,fit_method,pearson_dispersion,alpha_estimate,overdispersion_flag,split,converged
2385168,85888,2299280,96.39907964554278,0.03924293802365284,0.05316347601571976,0.03909705601523713,0.025507129896481094,0.10785584723097329,0.19830362470271848,0.23050961970043735,0.07187543079708325,0.21658866348714467,10,0.0026690646544475487,0.004598441924138955,statsmodels.discrete.NegativeBinomial_mle,1.061891553147652,0.9828691185584942,False,train,True
510060,19416,490644,96.19338901305728,0.040120770105477786,0.043914379799481144,0.027265726512927677,0.016311088376198827,0.0752680215875228,0.15196669384507053,0.23345631597245892,0.06264667935644468,0.20398178190510297,10,0.012855043592550122,0.06036116514986051,statsmodels.discrete.NegativeBinomial_mle,1.4420552215941076,0.9828691185584942,False,validation,True
375408,19366,356042,94.84134594894088,0.05460725397434258,0.059499401434145525,0.024487825742495962,0.014185033852564328,0.0683624504305171,0.14885764170275104,0.29856759103841585,0.07290046696896935,0.23746481926140883,10,0.030119354696561334,0.14390899356147535,statsmodels.discrete.NegativeBinomial_mle,2.0872494307604494,0.9828691185584942,True,test,True
