row_type,feature_group,feature_name,train_mean,train_std,poisson_coefficient,poisson_exp_coefficient,poisson_standardized_effect,poisson_abs_standardized_effect,negative_binomial_coefficient,negative_binomial_exp_coefficient,negative_binomial_standardized_effect,negative_binomial_abs_standardized_effect,notes
group,geometry,,,,,,,0.6254494924607348,,,,0.6517704202535078,Group aggregate over 1 selected exogenous features.
group,calendar,,,,,,,0.5689695608829115,,,,0.5762451313605987,Group aggregate over 2 selected exogenous features.
group,static road,,,,,,,0.18715218809959294,,,,0.17961921898192593,Group aggregate over 5 selected exogenous features.
group,topology,,,,,,,0.11800142179862427,,,,0.12133208948890907,Group aggregate over 2 selected exogenous features.
feature,calendar,exog_temporal_is_night_flag,0.3333333333333333,0.47140452079103234,0.8430407213558493,2.3234211227262747,0.3974132072580804,0.3974132072580804,0.8454706357958929,2.3290737021235435,0.39855867991025234,0.39855867991025234,Feature-level standardized effect based on train std.
feature,calendar,exog_temporal_is_weekday_peak_flag,0.16666666666666666,0.3726779962499657,0.4603340024125368,1.5846031578947,0.1715563536248311,0.1715563536248311,0.47678278094842763,1.6108834914632226,0.17768645145034634,0.17768645145034634,Feature-level standardized effect based on train std.
feature,geometry,exog_distance_from_network_centroid_km,8.242650887735607,5.308040884232215,-0.11783057178754255,0.8888466355543688,-0.6254494924607348,0.6254494924607348,-0.1227892615125898,0.8844500305843087,-0.6517704202535078,0.6517704202535078,Feature-level standardized effect based on train std.
feature,static road,exog_maxspeed_missing_flag,0.5097905053228955,0.4999041368157723,-0.15233246363647776,0.8587027458412322,-0.07615162874321343,0.07615162874321343,-0.1627903887838308,0.84976929092233,-0.08137958878688491,0.08137958878688491,Feature-level standardized effect based on train std.
feature,static road,exog_maxspeed_kph_imputed_by_road_class,41.92268217584673,14.76233125898304,0.003329625279539336,1.0033351746391772,0.04915303134484368,0.04915303134484368,0.002754548192251095,1.002758345445895,0.04066355288284357,0.04066355288284357,Feature-level standardized effect based on train std.
feature,static road,exog_road_class_is_major_flag,0.22872351129983295,0.4200107935262001,0.06496928530244825,1.067126247420889,0.027287801074711376,0.027287801074711376,0.05467966600607602,1.0562022230027241,0.022966049908959577,0.022966049908959577,Feature-level standardized effect based on train std.
feature,static road,exog_tunnel_flag,0.01353363788211145,0.11554427085661717,0.21634737543755747,1.2415335823730247,0.024997699746675386,0.024997699746675386,0.2109346731230054,1.2348316847288754,0.02437229300437654,0.02437229300437654,Feature-level standardized effect based on train std.
feature,static road,exog_oneway_code_b_flag,0.3523525386890986,0.4777030742715038,-0.02001667501246695,0.9801823286179322,-0.009562027190149053,0.009562027190149053,-0.021431167078993264,0.9787968485966063,-0.010237734398861328,0.010237734398861328,Feature-level standardized effect based on train std.
feature,topology,exog_node_degree_mean,2.4158650459841824,0.4877399074950424,0.15518121535474208,1.167869577830285,0.07568807162209015,0.07568807162209015,0.17346090408109283,1.1894141846200834,0.08460380531051864,0.08460380531051864,Feature-level standardized effect based on train std.
feature,topology,exog_edge_touches_dead_end_flag,0.016461733513111025,0.1272428577282605,0.33254008069276786,1.3945057908229888,0.04231335017653413,0.04231335017653413,0.28864711807107674,1.3346206819008652,0.03672828417839043,0.03672828417839043,Feature-level standardized effect based on train std.
