model_label,family,split,scope,n_rows,target_mean,target_variance,zero_pct,mean_poisson_deviance,mae,rmse,pearson_dispersion,calibration_mean_abs_gap_decile
pilot_no_traffic,poisson,train,overall,149208,0.023014851750576378,0.022793615574929604,97.7139,0.1610499960142204,0.04431911156703092,0.14985070018189167,1.0242294366621074,0.0029118474321256005
pilot_no_traffic,poisson,train,covered_only,135237,0.023322019861428456,0.02308883987515938,97.6833,0.16287151796510538,0.044644233074958045,0.15083006835049861,1.0427175142378715,0.0029759667116994104
pilot_no_traffic,poisson,train,positive_only,3411,1.006742890647904,0.006699388127594785,0.0,5.106180535500781,0.9693295219423146,0.9729042635460889,43.82982345454553,0.9693207349470759
pilot_no_traffic,poisson,train,zero_only,145797,0.0,0.0,100.0,0.04535598125267754,0.02267799062633877,0.02890854561429695,0.02267799062633877,0.02267791940761727
pilot_no_traffic,poisson,validation,overall,74604,0.021607420513645382,0.02181103760079359,97.8674,0.155532483399541,0.03709089355144347,0.14683854102053123,0.6482961057088082,0.00498354473308526
pilot_no_traffic,poisson,validation,covered_only,67249,0.022082112745170933,0.022338330694941438,97.823,0.15788987735977875,0.03758529431936316,0.14858297178862118,1.3071722889104298,0.005405834138777316
pilot_no_traffic,poisson,validation,positive_only,1591,1.0131992457573853,0.018064664049745223,0.0,5.78755825308823,0.9864606644084827,0.9955059552330713,60.04077145555478,0.9864553711773055
pilot_no_traffic,poisson,validation,zero_only,73013,0.0,0.0,100.0,0.03280703725194122,0.01640351862597061,0.02088476396734518,0.01640351862597061,0.016403386076373656
pilot_no_traffic,poisson,test,overall,74604,0.02615141279287974,0.026004029243342643,97.409,0.1827634915133081,0.03990492505380034,0.16047246577461793,458516.06818034017,0.011123300655895143
pilot_no_traffic,poisson,test,covered_only,66417,0.026423957721667644,0.02632838403695606,97.3847,0.18430423334820703,0.04016853223252718,0.16146451555758817,1029981.6563705675,0.011433888132015275
pilot_no_traffic,poisson,test,positive_only,1933,1.0093119503362649,0.011300406259807058,0.0,5.942535533585255,0.9845234668879738,0.9902306219896903,35389707.04510227,0.9845165796314046
pilot_no_traffic,poisson,test,zero_only,72671,0.0,0.0,100.0,0.029557407142306227,0.014778703571153113,0.018821013978986223,0.014778703571153113,0.014778865119685953
