split,rows_n,positive_rows_n,zero_rows_n,zero_rows_pct,target_mean,target_variance,predicted_mean,mean_poisson_deviance,mae,rmse,pearson_dispersion,calibration_bins_n,calibration_mean_abs_gap,calibration_max_abs_gap,overdispersion_flag
train,2385168,85888,2299280,96.39907964554278,0.03924293802365284,0.05316347601571976,0.0392502663050932,0.2314310348096586,0.07223480648555072,0.22006198233774768,1.1058499668587118,10,0.0029763657278080555,0.005503505044065167,False
validation,510060,19416,490644,96.19338901305728,0.040120770105477786,0.043914379799481144,0.027876856385361363,0.23246962996650472,0.06276892275862656,0.20426245968638634,1.5048160322988477,10,0.01224391372011643,0.051734049795216994,True
test,375408,19366,356042,94.84134594894088,0.05460725397434258,0.059499401434145525,0.02514793648829241,0.29541408609546177,0.07273009799590241,0.2368622559973684,2.176845689866842,10,0.029459241472823028,0.13526235327251415,True
