model_label,family,split,scope,n_rows,target_mean,target_variance,zero_pct,mean_poisson_deviance_with_traffic,mae_with_traffic,rmse_with_traffic,pearson_dispersion_with_traffic,calibration_gap_with_traffic,mean_poisson_deviance_no_traffic,mae_no_traffic,rmse_no_traffic,pearson_dispersion_no_traffic,calibration_gap_no_traffic,delta_mean_poisson_deviance,delta_mae,delta_rmse,delta_pearson_dispersion,delta_calibration_gap,r_delta_mean_poisson_deviance,r_delta_mae,r_delta_rmse,r_delta_calibration_gap,r_python_delta_gap_mean_poisson_deviance,r_python_delta_gap_rmse,r_python_delta_gap_calibration,aligned_with_r_sign
pilot_with_traffic_d,poisson,train,overall,149208,0.023014851750576378,0.022793615574929604,97.7139,0.16043809877929274,0.04426745759852305,0.14975601836450597,1.0248252829670945,0.0026515990637097906,0.1610499960142204,0.04431911156703092,0.14985070018189167,1.0242294366621074,0.0029118474321256005,-0.0006118972349276608,-5.165396850786985e-05,-9.468181738570003e-05,0.0005958463049871021,-0.00026024836841580983,-0.0006118972359046,-5.1653968992274e-05,-9.46818173857e-05,-0.0002602233848149,9.76939232635865e-13,-2.710505431213761e-20,-2.498360090981205e-08,True
pilot_with_traffic_d,poisson,train,covered_only,135237,0.023322019861428456,0.02308883987515938,97.6833,0.16234557379633766,0.044846366864385125,0.15073916766847356,1.0270705090851002,0.0026379549701786237,0.16287151796510538,0.044644233074958045,0.15083006835049861,1.0427175142378715,0.0029759667116994104,-0.0005259441687677224,0.00020213378942707944,-9.090068202505242e-05,-0.015647005152771287,-0.00033801174152078665,-0.0005259441698458,0.0002021337888921,-9.09006820251079e-05,-0.0003380319839402,1.078077622833351e-12,5.548404617694569e-17,2.0242419413363157e-08,True
pilot_with_traffic_d,poisson,train,positive_only,3411,1.006742890647904,0.006699388127594785,0.0,5.081673711315682,0.9681997674227404,0.9717923192246486,43.855212469626615,0.9681906698643379,5.106180535500781,0.9693295219423146,0.9729042635460889,43.82982345454553,0.9693207349470759,-0.02450682418509853,-0.0011297545195741998,-0.0011119443214403502,0.025389015081081823,-0.001130065082738052,-0.0245068241854716,-0.0011297545195815,-0.0011119443214475,-0.0011298693924787,3.7306963074357213e-13,7.149879646672908e-15,-1.9569025935198964e-07,True
pilot_with_traffic_d,poisson,train,zero_only,145797,0.0,0.0,100.0,0.04530311881151817,0.022651559405759084,0.029279061151805768,0.022651559405759084,0.022651488383552555,0.04535598125267754,0.02267799062633877,0.02890854561429695,0.02267799062633877,0.02267791940761727,-5.286244115937366e-05,-2.643122057968683e-05,0.00037051553750881705,-2.643122057968683e-05,-2.643102406471587e-05,-5.28624421504767e-05,-2.64312210752383e-05,0.000370515537514,-2.6425670474152e-05,9.911030397530447e-13,-5.18297427545833e-15,-5.3535905638693875e-09,True
pilot_with_traffic_d,poisson,validation,overall,74604,0.021607420513645382,0.02181103760079359,97.8674,0.15450154861339035,0.03739084115963564,0.1467107424394966,0.6332853351682276,0.004616793248052141,0.155532483399541,0.03709089355144347,0.14683854102053123,0.6482961057088082,0.00498354473308526,-0.0010309347861506557,0.00029994760819217203,-0.0001277985810346216,-0.015010770540580642,-0.0003667514850331198,-0.0010309347664033,0.0002999476180696,-0.0001277985810346,-0.0003666916381832,-1.974735566040442e-11,-2.1602728286773676e-17,-5.984684991978614e-08,True
pilot_with_traffic_d,poisson,validation,covered_only,67249,0.022082112745170933,0.022338330694941438,97.823,0.15683673475777798,0.03810517731310329,0.14845249681934342,1.250432866050577,0.0048075547211829765,0.15788987735977875,0.03758529431936316,0.14858297178862118,1.3071722889104298,0.005405834138777316,-0.0010531426020007617,0.0005198829937401311,-0.0001304749692777607,-0.056739422859852784,-0.0005982794175943395,-0.0010531425800935,0.0005198830046975,-0.0001304749692777,-0.0005982794285518,-2.1907261811907053e-11,-6.068821660487611e-17,1.095746052486718e-11,True
pilot_with_traffic_d,poisson,validation,positive_only,1591,1.0131992457573853,0.018064664049745223,0.0,5.7079567841812064,0.9848957695241488,0.9939043766113184,58.61512804767578,0.9848895599048074,5.78755825308823,0.9864606644084827,0.9955059552330713,60.04077145555478,0.9864553711773055,-0.07960146890702369,-0.0015648948843338673,-0.0016015786217529193,-1.4256434078790008,-0.0015658112724981077,-0.0796014689073878,-0.0015648948843388,-0.0016015786217579,-0.0015651819832168,3.641115187136279e-13,4.98060793996391e-15,-6.292892813077131e-07,True
pilot_with_traffic_d,poisson,validation,zero_only,73013,0.0,0.0,100.0,0.033488204691234064,0.016744102345617032,0.021616428413998,0.016744102345617032,0.016743957951528533,0.03280703725194122,0.01640351862597061,0.02088476396734518,0.01640351862597061,0.016403386076373656,0.0006811674392928416,0.0003405837196464208,0.0007316644466528188,0.0003405837196464208,0.00034057187515487697,0.0006811674594784,0.0003405837297392,0.0007316644466574,0.0003405880389315,-2.0185558411399407e-11,-4.5811878596202504e-15,-1.6163776623049318e-08,True
pilot_with_traffic_d,poisson,test,overall,74604,0.02615141279287974,0.026004029243342643,97.409,0.18077370049810984,0.04045224695985324,0.16028807306054407,431195.9584412659,0.010489439908025932,0.1827634915133081,0.03990492505380034,0.16047246577461793,458516.06818034017,0.011123300655895143,-0.00198979101519825,0.0005473219060529028,-0.00018439271407386104,-27320.10973907425,-0.000633860747869211,-0.001990014481958,0.0005473219159881,-0.0001843927156214,-0.0006338993624139,2.2346675974992472e-07,1.547538952453159e-12,3.861454468906487e-08,True
pilot_with_traffic_d,poisson,test,covered_only,66417,0.026423957721667644,0.02632838403695606,97.3847,0.1824334162914251,0.04111173427847557,0.16127200730030086,968572.5049307386,0.010396823734517616,0.18430423334820703,0.04016853223252718,0.16146451555758817,1029981.6563705675,0.011433888132015275,-0.001870817056781937,0.000943202045948395,-0.00019250825728731047,-61409.151439828915,-0.0010370643974976588,-0.0018710680695365,0.000943202057108,-0.000192508259016,-0.001037058398063,2.5101275456297124e-07,1.7286895385212192e-12,-5.9994346587009806e-09,True
pilot_with_traffic_d,poisson,test,positive_only,1933,1.0093119503362649,0.011300406259807058,0.0,5.819627626983895,0.9825912869593026,0.9882177134014919,33279716.878087707,0.9825817598342812,5.942535533585255,0.9845234668879738,0.9902306219896903,35389707.04510227,0.9845165796314046,-0.12290790660136075,-0.0019321799286711183,-0.002012908588198359,-2109990.1670145616,-0.0019348197971233994,-0.122916532071106,-0.0019321799380982,-0.0020129085980059,-0.0019416422943022,8.625469745254799e-06,9.807541063999725e-12,6.822497178800594e-06,True
pilot_with_traffic_d,poisson,test,zero_only,72671,0.0,0.0,100.0,0.03078395713559904,0.01539197856779952,0.019986033727837225,0.01539197856779952,0.015392150666329327,0.029557407142306227,0.014778703571153113,0.018821013978986223,0.014778703571153113,0.014778865119685953,0.001226549993292813,0.0006132749966464065,0.0011650197488510018,0.0006132749966464065,0.0006132855466433745,0.0012265500141934,0.0006132750070967,0.0011650197488548,0.0006132829872189,-2.0900587033648166e-11,-3.798177050651219e-15,2.559424474549328e-09,True
