model_name,family,generation,feature_block,metrics_artifact,validation_mean_poisson_deviance,validation_mae,validation_rmse,validation_pearson_dispersion,test_mean_poisson_deviance,test_mae,test_rmse,test_pearson_dispersion,train_mean_poisson_deviance,train_mae,train_rmse,train_pearson_dispersion,predictions_artifact,selection_rank,selected_global_baseline,selection_rule,selection_rationale
negative_binomial_b4,negative_binomial,B4,history_plus_contextual_lag_safe_plus_exogenous,outputs/modeling/negative_binomial_b4_metrics.csv,0.2255833165430014,0.0632325452337798,0.2029807603749296,1.3562853614182122,0.2860716331669102,0.0735340606865105,0.2355188808765678,1.9337449294550055,0.2204355389336255,0.071302855275515,0.2217931954360713,0.9932191306277756,outputs/modeling/negative_binomial_b4_predictions.csv,1,True,rank_by_validation_deviance_then_test_deviance_then_validation_rmse_then_test_rmse_then_validation_mae_then_test_mae,chosen_as_current_global_baseline_from_existing_artifacts
poisson_a4,poisson,A4,history_plus_contextual_lag_safe_plus_exogenous,outputs/modeling/poisson_a4_metrics.csv,0.2265880583399169,0.0623153901259291,0.2030230878401943,1.4490861563589548,0.2892388340043885,0.0725365585925785,0.2357382123146526,2.094720793013785,0.2204125888421698,0.0712581990171568,0.2212360242376821,1.029876054900833,outputs/modeling/poisson_a4_predictions.csv,2,False,rank_by_validation_deviance_then_test_deviance_then_validation_rmse_then_test_rmse_then_validation_mae_then_test_mae,not_selected_after_explicit_artifact_comparison
negative_binomial_b3,negative_binomial,B3,history_plus_contextual_lag_safe,outputs/modeling/negative_binomial_b3_metrics.csv,0.2317820489316723,0.0643595892728954,0.2035386115189504,1.3420712582236265,0.2924063918603151,0.0749951794034364,0.2363080852882959,1.872934501542757,0.2303674547159589,0.0719828999181113,0.2189306355017686,1.0483963530380491,outputs/modeling/negative_binomial_b3_predictions.csv,3,False,rank_by_validation_deviance_then_test_deviance_then_validation_rmse_then_test_rmse_then_validation_mae_then_test_mae,not_selected_after_explicit_artifact_comparison
negative_binomial_baseline,negative_binomial,B,base_history_only,outputs/modeling/negative_binomial_baseline_metrics.csv,0.2319868287139609,0.0633222022276164,0.2041847615131972,1.4220530719347853,0.2938582001286013,0.0733547316795392,0.2368666010610127,2.042994975774444,0.2314629913764887,0.0722295555702105,0.2208226254491101,1.0571235443184708,outputs/modeling/negative_binomial_baseline_predictions.csv,4,False,rank_by_validation_deviance_then_test_deviance_then_validation_rmse_then_test_rmse_then_validation_mae_then_test_mae,not_selected_after_explicit_artifact_comparison
poisson_a3,poisson,A3,history_plus_contextual_lag_safe,outputs/modeling/poisson_a3_metrics.csv,0.2324646417046044,0.0637487946709017,0.2035121138944572,1.4226344239691409,0.294440621897728,0.0743349289281535,0.2363004181841394,2.002663006120849,0.2303508965762348,0.0719491171784871,0.218237862910458,1.0941727712152791,outputs/modeling/poisson_a3_predictions.csv,5,False,rank_by_validation_deviance_then_test_deviance_then_validation_rmse_then_test_rmse_then_validation_mae_then_test_mae,not_selected_after_explicit_artifact_comparison
poisson_baseline,poisson,A,base_history_only,outputs/modeling/poisson_baseline_metrics.csv,0.232469629966388,0.0627689227587225,0.2042624596863797,1.504816032287752,0.2954140860951371,0.0727300979960047,0.2368622559973369,2.1768456898482333,0.2314310348096585,0.0722348064855593,0.2200619823377407,1.1058499668553188,outputs/modeling/poisson_baseline_predictions.csv,6,False,rank_by_validation_deviance_then_test_deviance_then_validation_rmse_then_test_rmse_then_validation_mae_then_test_mae,not_selected_after_explicit_artifact_comparison
negative_binomial_b2,negative_binomial,B2,history_plus_lag_safe,outputs/modeling/negative_binomial_b2_metrics.csv,0.2334563159721957,0.0626466793565386,0.2039817819050516,1.4420552215836009,0.2985675910376038,0.0729004669690234,0.2374648192612204,2.087249430739033,0.2305096197003958,0.0718754307970691,0.2165886634861655,1.061891553145471,outputs/modeling/negative_binomial_b2_predictions.csv,7,False,rank_by_validation_deviance_then_test_deviance_then_validation_rmse_then_test_rmse_then_validation_mae_then_test_mae,not_selected_after_explicit_artifact_comparison
poisson_a2,poisson,A2,history_plus_lag_safe,outputs/modeling/poisson_a2_metrics.csv,0.2337519659770377,0.0624710543460968,0.2038675176807071,1.4932398618431597,0.2994259727299652,0.0727016263051001,0.2372640071442918,2.166585208084479,0.2304706052650098,0.0718274464701356,0.2153943301490848,1.1029732772105127,outputs/modeling/poisson_a2_predictions.csv,8,False,rank_by_validation_deviance_then_test_deviance_then_validation_rmse_then_test_rmse_then_validation_mae_then_test_mae,not_selected_after_explicit_artifact_comparison
