comparison_family,old_model,new_model,split,segment,metric,old_value,new_value,absolute_delta,relative_delta_pct,improvement_direction,improvement_label
poisson,poisson_a2,poisson_a3,validation,all,mean_poisson_deviance,0.2337519660165384,0.23229839335143374,-0.001453572665104652,-0.6218440383093117,lower_is_better,marginal
poisson,poisson_a2,poisson_a3,validation,all,mae,0.0624710542945259,0.06381002204808929,0.0013389677535633887,2.1433410540034976,lower_is_better,marginal
poisson,poisson_a2,poisson_a3,validation,all,rmse,0.203867517686584,0.20350851790282665,-0.0003589997837573633,-0.17609464608740272,lower_is_better,marginal
poisson,poisson_a2,poisson_a3,validation,all,pearson_dispersion,1.4932398642776017,1.4106772822603515,-0.0825625820172502,-5.529090402176763,lower_is_better,marginal
poisson,poisson_a2,poisson_a3,validation,all,calibration_mean_abs_gap,0.0129956664408564,0.011338203919687801,-0.001657462521168598,-12.753963243914818,lower_is_better,marginal
poisson,poisson_a2,poisson_a3,validation,all,calibration_max_abs_gap,0.059934092760295,0.05184517788039221,-0.008088914879902792,-13.496349919325912,lower_is_better,marginal
poisson,poisson_a2,poisson_a3,validation,positive_obs,mean_poisson_deviance,4.840983184967471,4.724209965659246,-0.11677321930822515,-2.4121798165058035,lower_is_better,marginal
poisson,poisson_a2,poisson_a3,validation,positive_obs,mae,0.9912694077014972,0.987150336632274,-0.004119071069223157,-0.4155349733604954,lower_is_better,marginal
poisson,poisson_a2,poisson_a3,validation,positive_obs,rmse,1.0265454622457102,1.022329024566089,-0.00421643767962121,-0.41074047226288146,lower_is_better,marginal
poisson,poisson_a2,poisson_a3,validation,positive_obs,predicted_mean,0.06272822628981865,0.06697604032384909,0.004247814034030434,6.77177450292404,contextual_readout,descriptive
poisson,poisson_a2,poisson_a3,validation,positive_obs,predicted_p95,0.1877681823774383,0.19805199754117103,0.010283815163732724,5.476867823676818,contextual_readout,descriptive
poisson,poisson_a2,poisson_a3,validation,zero_obs,mean_poisson_deviance,0.05143239959536282,0.054542311369531415,0.003109911774168597,6.0466005837475825,lower_is_better,none
poisson,poisson_a2,poisson_a3,validation,zero_obs,mae,0.02571619979768141,0.027271155684765708,0.0015549558870842986,6.0466005837475825,lower_is_better,none
poisson,poisson_a2,poisson_a3,validation,zero_obs,rmse,0.038799095097313774,0.04117279709066653,0.002373701993352753,6.1179313264888355,lower_is_better,none
poisson,poisson_a2,poisson_a3,validation,zero_obs,predicted_mean,0.02571619979768141,0.027271155684765708,0.0015549558870842986,6.0466005837475825,contextual_readout,descriptive
poisson,poisson_a2,poisson_a3,validation,zero_obs,predicted_p95,0.06893925145231648,0.07569393128758227,0.006754679835265787,9.798017374670549,contextual_readout,descriptive
