parameter,parameter_type,coefficient,exp_coefficient,absolute_coefficient,rank_by_absolute_value
alpha,dispersion,1.0095086494380527,,1.0095086494380527,3
is_weekend_int,feature,-1.1527102792879993,0.31577975719697615,1.1527102792879993,2
prior_dynamic_context_recent_missing_flag,feature,0.5574799116842055,1.7462662054413862,0.5574799116842055,4
log1p_edge_bin_accident_count_prior_recent_3y,feature,0.5463383186719255,1.7269180031358933,0.5463383186719255,5
hour_sin,feature,-0.5325169857043126,0.5871253222910053,0.5325169857043126,6
log1p_edge_accident_count_prior_recent_3y,feature,0.4449547719725509,1.5604196195352809,0.4449547719725509,7
hour_cos,feature,-0.3740822851764989,0.6879203038563929,0.3740822851764989,8
ctx_recent_fallback_global_bin_weekend,feature,0.29048011607879126,1.337069282406184,0.29048011607879126,9
log1p_edge_accident_count_prior_total,feature,0.22636905385599174,1.2540383875907102,0.22636905385599174,10
log1p_edge_bin_accident_count_prior,feature,-0.11915955208163335,0.8876661604790497,0.11915955208163335,11
analysis_year_offset,feature,-0.10035136873115877,0.904519542309545,0.10035136873115877,12
ctx_recent_fallback_edge_bin_weekend,feature,-0.07559985909020236,0.9271871378469323,0.07559985909020236,13
log_edge_length_m,feature,0.06645182755391138,1.0687094804853052,0.06645182755391138,14
log1p_prior_context_observation_n_recent_3y,feature,-0.0018378948857122733,0.9981637930088773,0.0018378948857122733,15
prior_dynamic_context_signal_recent_3y_imputed,feature,0.0013742803476855445,1.0013752251036596,0.0013742803476855445,16
ctx_recent_fallback_edge_bin,feature,0.0005014940693370513,1.000501619838511,0.0005014940693370513,17
intercept,intercept,-3.139341675743137,0.04331130139897198,3.139341675743137,1
