sensor_id,accident_rows,years_present_n,first_year,last_year,top_distrito,top_temporal_bin_4h,cumulative_missing_rows,cumulative_missing_rows_pct,missing_sensor_rank,tipo_elem,distrito_sensor,sensor_name,latitud,longitud,in_official_sensor_locations
9950,63,9,2016,2024,ciudad lineal,20_23,10663,65.78,81,URB,14,Arroyo Media Legua - Santa Irene-Acceso O´Donnell,40.4150616020132,-3.6510431871597,TRUE
10778,62,6,2019,2024,puente de vallecas,20_23,10725,66.16,82,URB,13,Av. Entrevías - La Mancha-Membezar,40.3814678755688,-3.66856514768021,TRUE
11364,62,6,2019,2024,fuencarral-el pardo,08_11,10787,66.55,83,M30,8,PM43012V,40.4883484125324,-3.69784054349939,TRUE
5501,61,9,2016,2024,chamartÃ­n,12_15,10848,66.92,84,URB,5,Concha Espina O-E - PºCastellana-Pºde la Habana,40.4519194472706,-3.68809554560282,TRUE
9877,60,8,2016,2024,hortaleza,16_19,10908,67.29,85,URB,16,Ana de Austria - Ignacio Aldecoa-Niceto Alcalá Zamora,40.4984201118203,-3.65351430920119,TRUE
11220,59,6,2019,2024,barajas,16_19,10967,67.66,86,URB,21,Av. José Antonio Corrales - Gustavo Pérez Puig-Av. Manuel Fraga Iribarne,40.485067319471,-3.60724232961561,TRUE
10776,54,7,2017,2024,puente de vallecas,12_15,11021,67.99,87,URB,13,Av. Entrevías - Calero Pita-Hernández Más,40.3827963778025,-3.66947849086812,TRUE
11386,54,6,2019,2024,fuencarral-el pardo,16_19,11075,68.32,88,M30,8,PM13042,40.4852976645417,-3.69483923910985,TRUE
3732,53,7,2016,2024,centro,08_11,11128,68.65,89,,,,,,FALSE
4469,53,9,2016,2024,chamberÃ­,08_11,11181,68.98,90,URB,7,"(MICRO) Pº Castellana N-S(Delante G.3,salida) (P.M.1)",40.4404082186631,-3.69161013333277,TRUE
10850,53,6,2019,2024,carabanchel,12_15,11234,69.3,91,URB,11,(MICRO)PSO.STA MARIA CABEZA N-S (A 4 M LINEA PARADA),40.3858213057916,-3.71708578552526,TRUE
10888,53,8,2016,2024,retiro,12_15,11287,69.63,92,,,,,,FALSE
10135,52,8,2016,2024,fuencarral-el pardo,20_23,11339,69.95,93,,,,,,FALSE
10976,52,6,2019,2024,villa de vallecas,12_15,11391,70.27,94,,,,,,FALSE
3766,51,7,2017,2024,moncloa-aravaca,12_15,11442,70.59,95,,,,,,FALSE
6982,51,8,2017,2024,tetuÃ¡n,12_15,11493,70.9,96,,,,,,FALSE
10209,51,9,2016,2024,moncloa-aravaca,16_19,11544,71.22,97,,,,,,FALSE
4420,50,9,2016,2024,chamberÃ­,16_19,11594,71.52,98,,,,,,FALSE
5267,50,8,2016,2024,latina,16_19,11644,71.83,99,,,,,,FALSE
7105,50,6,2019,2024,centro,20_23,11694,72.14,100,,,,,,FALSE
11265,50,7,2018,2024,moncloa-aravaca,08_11,11744,72.45,101,URB,8,MANUEL GARRIDO O-E(ISLA DE SAIPAN-ISLAS ALEUTIANAS),40.4738107624884,-3.72963226624154,TRUE
6969,49,8,2016,2024,barajas,16_19,11793,72.75,102,URB,21,Av. Capital de España - Acceso Campo de las Naciones,40.4633394194041,-3.61601432393489,TRUE
6988,49,7,2017,2024,vicÃ¡lvaro,12_15,11842,73.05,103,URB,19,Bulevar José Prat - Ladera de los Almendros-Bulevar Indalecio Prieto,40.3975958248649,-3.62391284308172,TRUE
4937,48,7,2017,2024,carabanchel,12_15,11890,73.35,104,,,,,,FALSE
10792,47,6,2019,2024,usera,20_23,11937,73.64,105,URB,12,SAN BASILIO N-S(MAMERTO LOPEZ-CRISTO VICTORIA),40.3793159456183,-3.70769496964784,TRUE
