feature_block,family,split,scope,n_rows,target_mean,target_variance,zero_pct,mean_poisson_deviance,mae,rmse,pearson_dispersion,calibration_mean_abs_gap_decile,use_traffic_vmed,nb_justified
with_traffic,poisson,train,overall,149208,0.0230148517505764,0.0227936155749296,97.71,0.160504944757432,0.0442707317578671,0.149763898385646,1.02445796130961,0.00273768696160362,TRUE,FALSE
with_traffic,poisson,train,covered_only,135237,0.0233220198614285,0.0230888398751594,97.68,0.16242577555646,0.0448506115835409,0.150748249136468,1.02647966746761,0.00259617699269379,TRUE,FALSE
with_traffic,poisson,train,positive_only,3411,1.0067428906479,0.00669938812759478,0,5.08445453210803,0.968271372018358,0.971861918180231,43.8447815294373,0.968270747815641,TRUE,FALSE
with_traffic,poisson,train,zero_only,145797,0,0,100,0.04530646987487,0.022653234937435,0.0292662604595718,0.022653234937435,0.0226532453157562,TRUE,FALSE
with_traffic,poisson,validation,overall,74604,0.0216074205136454,0.0218110376007936,97.87,0.1545729332584,0.0373258095883456,0.146718247767599,1.26946611029883,0.00468783994411237,TRUE,FALSE
with_traffic,poisson,validation,covered_only,67249,0.0220821127451709,0.0223383306949414,97.82,0.156912111101815,0.0380436245633226,0.148460281255591,1.25285430701717,0.00503272754930425,TRUE,FALSE
with_traffic,poisson,validation,positive_only,1591,1.01319924575739,0.0180646640497452,0,5.71768586547709,0.985037239541875,0.994045703431404,58.7616525721661,0.985038751692909,TRUE,FALSE
with_traffic,poisson,validation,zero_only,73013,0,0,100,0.0333491419450732,0.0166745709725366,0.0215266846626388,0.0166745709725366,0.0166747194977059,TRUE,FALSE
with_traffic,poisson,test,overall,74604,0.0261514127928797,0.0260040292433426,97.41,0.180732611320836,0.0403010798100358,0.160300481556727,51.9373347986189,0.0107032319365755,TRUE,FALSE
with_traffic,poisson,test,covered_only,66417,0.0264239577216676,0.0263283840369561,97.38,0.182357872716501,0.0409541220704466,0.161284385987107,58.1295648840278,0.0106698236945256,TRUE,FALSE
with_traffic,poisson,test,positive_only,1933,1.00931195033626,0.0113004062598071,0,5.83021500698306,0.982843608332752,0.988463300518065,2003.94523551626,0.982836947192044,TRUE,FALSE
with_traffic,poisson,test,zero_only,72671,0,0,100,0.0304601577862064,0.0152300788931032,0.019763926806407,0.0152300788931032,0.0152301421997361,TRUE,FALSE
