section,variable,overall_missing_pct,covered_missing_pct,covered_median,covered_p95,covered_p99,train_transform,model_spec,split,scope,mean_poisson_deviance,mean_poisson_deviance_base,delta_mean_poisson_deviance,mae,mae_base,delta_mae,rmse,rmse_base,delta_rmse,calibration_mean_abs_gap_decile,calibration_gap_base,delta_calibration_gap,estimate,std_error,z_value,abs_z_value,p_value,exp_estimate,effect_direction
traffic_variable_audit,traffic_intensidad_mean,9.8899,0,365.765240860682,1312.0652173913,2661.70108695652,median_impute + winsorize_1_99 + log1p in spec D,,,,,,,,,,,,,,,,,,,,,,
traffic_variable_audit,traffic_ocupacion_mean,9.8909,0.0011,5.4078701724031,19.5108695652174,42.5307291666667,median_impute + winsorize_1_99 in spec D,,,,,,,,,,,,,,,,,,,,,,
traffic_variable_audit,traffic_vmed_mean,9.9003,0.0115,5.1840902604834,62.7707031249994,83.9449194454568,median_impute; winsorized log available but only raw imputed tested in spec C,,,,,,,,,,,,,,,,,,,,,,
traffic_variable_audit,traffic_n_observations,0,0,240.760028690373,368,368,median_impute + log1p,,,,,,,,,,,,,,,,,,,,,,
traffic_variable_audit,traffic_support_n,0,0,1.01589801607548,1,2,median_impute + log1p,,,,,,,,,,,,,,,,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_A_core,train,overall,0.160917768976718,0.161049996606558,-0.000132227629839415,0.0443108594565829,0.0443191118631956,-8.25240661262577e-06,0.149844154543705,0.149850700181895,-6.54563818969223e-06,0.00310600886054797,0.0029123719388742,0.000193636921673771,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_A_core,train,positive_only,5.10075746451172,5.10618053550114,-0.00542307098942185,0.969149028667102,0.969329521942322,-0.000180493275219629,0.972729957259172,0.972904263546096,-0.000174306286924497,0.969148662850143,0.969329153449218,-0.000180490599074878,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_A_core,train,zero_only,0.0453475363829755,0.0453559818588643,-8.44547588883804e-06,0.0226737681914877,0.0226779909294322,-4.22273794441902e-06,0.0290108720643653,0.0289085456143068,0.000102326450058456,0.0226737794306851,0.0226779942731727,-4.214842487648e-06,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_A_core,validation,overall,0.155193699740426,0.155532483827395,-0.000338784086969246,0.0372584371912701,0.037090893765367,0.000167543425903145,0.146802507689315,0.146838541020533,-3.60333312178773e-05,0.00479390640955651,0.00498348408318944,-0.000189577673632931,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_A_core,validation,positive_only,5.75492633529566,5.78755825308859,-0.0326319177929335,0.985944035341189,0.986460664408488,-0.000516629067299212,0.994992616256108,0.995505955233076,-0.000513338976968703,0.985946046820563,0.986462712319066,-0.000516665498503266,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_A_core,validation,zero_only,0.0331719416539434,0.032807037689111,0.000364903964832332,0.0165859708269717,0.0164035188445555,0.000182451982416166,0.0211572121003469,0.0208847639673523,0.0002724481329946,0.0165861161972683,0.0164036623550818,0.000182453842186455,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_A_core,test,overall,0.181747668414942,0.182501988736839,-0.000754320321897178,0.0403278606818775,0.0399049252405633,0.000422935441314179,0.160403745363593,0.160472465753578,-6.87203899848443e-05,0.010642556726101,0.0111233386268181,-0.000480781900717117,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_A_core,test,positive_only,5.86883435617526,5.93244283751385,-0.0636084813385924,0.983598859979318,0.984523466757662,-0.000924606778343717,0.989301894983031,0.990230621858093,-0.000928726875061514,0.983601235926466,0.984529032355958,-0.00092779642949159,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_A_core,test,zero_only,0.0304749658590294,0.0295574075327,0.000917558326329389,0.0152374829295147,0.01477870376635,0.000458779163164695,0.0195062734199903,0.0188210139789927,0.000685259440997618,0.0152375467805967,0.0147787634905142,0.000458783290082501,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_B_core_support,train,overall,0.160506609378999,0.161049996606558,-0.000543387227558839,0.0442707804740321,0.0443191118631956,-4.83313891634085e-05,0.149763794678856,0.149850700181895,-8.69055030390531e-05,0.00281702167872995,0.0029123719388742,-9.53502601442431e-05,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_B_core_support,train,positive_only,5.084525216965,5.10618053550114,-0.0216553185361388,0.968272437523419,0.969329521942322,-0.00105708441890295,0.971864001423398,0.972904263546096,-0.00104026212269814,0.968271808637251,0.969329153449218,-0.0010573448119664,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_B_core_support,train,zero_only,0.0453065197305432,0.0453559818588643,-4.94621283210969e-05,0.0226532598652716,0.0226779909294322,-2.47310641605485e-05,0.0292640987731415,0.0289085456143068,0.000355553158834704,0.0226532602440707,0.0226779942731727,-2.47340291020352e-05,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_B_core_support,validation,overall,0.154589324254077,0.155532483827395,-0.000943159573318947,0.0373113490113117,0.037090893765367,0.000220455245944745,0.146718759656066,0.146838541020533,-0.000119781364466665,0.00472080244609556,0.00498348408318944,-0.000262681637093878,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_B_core_support,validation,positive_only,5.71986157514932,5.78755825308859,-0.0676966779392707,0.985062722404538,0.986460664408488,-0.00139794200395027,0.994069100994023,0.995505955233076,-0.00143685423905371,0.985064218888693,0.986462712319066,-0.00139849343037313,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_B_core_support,validation,zero_only,0.0333184800047739,0.032807037689111,0.000511442315662872,0.016659240002387,0.0164035188445555,0.000255721157831436,0.0215066965525731,0.0208847639673523,0.000621932585220798,0.0166593885809752,0.0164036623550818,0.000255726225893371,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_B_core_support,test,overall,0.180793862613978,0.182501988736839,-0.00170812612286078,0.0402699500524383,0.0399049252405633,0.000365024811875045,0.16030511309921,0.160472465753578,-0.000167352654368569,0.010731998535313,0.0111233386268181,-0.00039134009150509,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_B_core_support,test,positive_only,5.83511111935579,5.93244283751385,-0.0973317181580642,0.98290821900821,0.984523466757662,-0.00161524774945165,0.988527919468667,0.990230621858093,-0.00170270238942605,0.982901577942841,0.984529032355958,-0.00162745441311662,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_B_core_support,test,zero_only,0.030392805008029,0.0295574075327,0.000835397475328983,0.0151964025040145,0.01477870376635,0.000417698737664491,0.0197164678574947,0.0188210139789927,0.000895453878502046,0.0151964656092134,0.0147787634905142,0.000417702118699199,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_C_core_support_vmed,train,overall,0.160504944757432,0.161049996606558,-0.000545051849125622,0.0442707317578671,0.0443191118631956,-4.83801053284688e-05,0.149763898385646,0.149850700181895,-8.68017962484258e-05,0.00273768696160362,0.0029123719388742,-0.000174684977270572,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_C_core_support_vmed,train,positive_only,5.08445453210803,5.10618053550114,-0.0217260033931153,0.968271372018358,0.969329521942322,-0.00105814992396358,0.971861918180231,0.972904263546096,-0.00104234536586545,0.968270747815641,0.969329153449218,-0.00105840563357607,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_C_core_support_vmed,train,zero_only,0.04530646987487,0.0453559818588643,-4.95119839943187e-05,0.022653234937435,0.0226779909294322,-2.47559919971593e-05,0.0292662604595718,0.0289085456143068,0.000357714845265023,0.0226532453157562,0.0226779942731727,-2.47489574164844e-05,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_C_core_support_vmed,validation,overall,0.1545729332584,0.155532483827395,-0.000959550568995327,0.0373258095883456,0.037090893765367,0.000234915822978674,0.146718247767599,0.146838541020533,-0.000120293252933917,0.00468783994411237,0.00498348408318944,-0.000295644139077066,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_C_core_support_vmed,validation,positive_only,5.71768586547709,5.78755825308859,-0.069872387611496,0.985037239541875,0.986460664408488,-0.00142342486661273,0.994045703431404,0.995505955233076,-0.00146025180167242,0.985038751692909,0.986462712319066,-0.00142396062615713,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_C_core_support_vmed,validation,zero_only,0.0333491419450732,0.032807037689111,0.000542104255962149,0.0166745709725366,0.0164035188445555,0.000271052127981074,0.0215266846626388,0.0208847639673523,0.000641920695286569,0.0166747194977059,0.0164036623550818,0.000271057142624084,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_C_core_support_vmed,test,overall,0.180732611320836,0.182501988736839,-0.00176937741600261,0.0403010798100358,0.0399049252405633,0.000396154569472514,0.160300481556727,0.160472465753578,-0.000171984196851771,0.0107032319365755,0.0111233386268181,-0.000420106690242622,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_C_core_support_vmed,test,positive_only,5.83021500698306,5.93244283751385,-0.10222783053079,0.982843608332752,0.984523466757662,-0.00167985842491014,0.988463300518065,0.990230621858093,-0.00176732134002811,0.982836947192044,0.984529032355958,-0.00169208516391439,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_C_core_support_vmed,test,zero_only,0.0304601577862064,0.0295574075327,0.000902750253506321,0.0152300788931032,0.01477870376635,0.00045137512675316,0.019763926806407,0.0188210139789927,0.000942912827414308,0.0152301421997361,0.0147787634905142,0.000451378709221904,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_D_transformed,train,overall,0.160438099370653,0.161049996606558,-0.000611897235904629,0.0442674578942033,0.0443191118631956,-5.1653968992274e-05,0.149756018364509,0.149850700181895,-9.46818173857e-05,0.00265214855405923,0.0029123719388742,-0.000260223384814969,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_D_transformed,train,positive_only,5.08167371131567,5.10618053550114,-0.0245068241854716,0.96819976742274,0.969329521942322,-0.00112975451958153,0.971792319224649,0.972904263546096,-0.00111194432144757,0.968199284056739,0.969329153449218,-0.00112986939247872,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_D_transformed,train,zero_only,0.0453031194167138,0.0453559818588643,-5.28624421504767e-05,0.0226515597083569,0.0226779909294322,-2.64312210752383e-05,0.0292790611518209,0.0289085456143068,0.000370515537514087,0.0226515686026986,0.0226779942731727,-2.6425670474152e-05,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_D_transformed,validation,overall,0.154501549060992,0.155532483827395,-0.00103093476640337,0.0373908413834366,0.037090893765367,0.000299947618069625,0.146710742439498,0.146838541020533,-0.000127798581034649,0.00461679244500616,0.00498348408318944,-0.000366691638183277,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_D_transformed,validation,positive_only,5.7079567841812,5.78755825308859,-0.0796014689073878,0.984895769524149,0.986460664408488,-0.00156489488433886,0.993904376611319,0.995505955233076,-0.00160157862175792,0.984897530335849,0.986462712319066,-0.00156518198321687,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_D_transformed,validation,zero_only,0.0334882051485895,0.032807037689111,0.000681167459478431,0.0167441025742947,0.0164035188445555,0.000340583729739215,0.0216164284140097,0.0208847639673523,0.000731664446657405,0.0167442503940134,0.0164036623550818,0.000340588038931541,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_D_transformed,test,overall,0.180511974254881,0.182501988736839,-0.00199001448195804,0.0404522471565515,0.0399049252405633,0.000547321915988171,0.160288073037957,0.160472465753578,-0.000184392715621401,0.0104894392644041,0.0111233386268181,-0.00063389936241395,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_D_transformed,test,positive_only,5.80952630544275,5.93244283751385,-0.122916532071106,0.982591286819564,0.984523466757662,-0.00193217993809824,0.988217713260087,0.990230621858093,-0.00201290859800596,0.982587390061656,0.984529032355958,-0.00194164229430227,,,,,,,
traffic_spec_incremental_gain,,,,,,,,traffic_D_transformed,test,zero_only,0.0307839575468935,0.0295574075327,0.00122655001419344,0.0153919787734467,0.01477870376635,0.000613275007096719,0.0199860337278475,0.0188210139789927,0.00116501974885485,0.0153920464777331,0.0147787634905142,0.000613282987218933,,,,,,,
traffic_term_coefficient,traffic_covered_flag,,,,,,,traffic_A_core,,,,,,,,,,,,,,,0.0904764290289869,0.0635634906844092,1.42340246035573,1.42340246035573,0.154619519668673,1.09469570429683,positive
traffic_term_coefficient,traffic_intensidad_imputed,,,,,,,traffic_A_core,,,,,,,,,,,,,,,5.82377719499392e-05,2.94207084999457e-05,1.97948230750618,1.97948230750618,0.0477617296859279,1.0000582394678,positive
traffic_term_coefficient,traffic_ocupacion_imputed,,,,,,,traffic_A_core,,,,,,,,,,,,,,,0.00607825515820354,0.00187793489339153,3.23666980127637,3.23666980127637,0.00120933255187546,1.00609676523507,positive
traffic_term_coefficient,traffic_covered_flag,,,,,,,traffic_B_core_support,,,,,,,,,,,,,,,-0.897941921148188,0.321425356238064,-2.79362503213072,2.79362503213072,0.00521208757018549,0.407407273801336,negative
traffic_term_coefficient,traffic_missing_due_to_no_time_flag,,,,,,,traffic_B_core_support,,,,,,,,,,,,,,,-1.41067097020307,0.451407354721868,-3.12505092229224,3.12505092229224,0.0017777428220924,0.243979525229648,negative
traffic_term_coefficient,traffic_intensidad_imputed,,,,,,,traffic_B_core_support,,,,,,,,,,,,,,,5.58099631945716e-05,2.95640250394639e-05,1.88776606433234,1.88776606433234,0.0590573628763313,1.0000558115206,positive
