model_spec,split,scope,n_rows,target_mean,target_variance,zero_pct,mean_poisson_deviance,mae,rmse,pearson_dispersion,calibration_mean_abs_gap_decile,mean_poisson_deviance_base,mae_base,rmse_base,pearson_dispersion_base,calibration_gap_base,delta_mean_poisson_deviance,delta_mae,delta_rmse,delta_pearson_dispersion,delta_calibration_gap,traffic_block_description,includes_traffic,includes_support_quality,includes_vmed,uses_transformed_traffic
traffic_A_core,train,overall,149208,0.0230148517505764,0.0227936155749296,97.7139,0.160917768976718,0.0443108594565829,0.149844154543705,1.01961124975025,0.00310600886054797,0.161049996606558,0.0443191118631956,0.149850700181895,1.02414019923208,0.0029123719388742,-0.000132227629839415,-8.25240661262577e-06,-6.54563818969223e-06,-0.00452894948183191,0.000193636921673771,Covered flag + intensidad + ocupacion.,TRUE,FALSE,FALSE,FALSE
traffic_A_core,train,covered_only,135237,0.0233220198614285,0.0230888398751594,97.6833,0.162749293391917,0.0448865538540103,0.150822804972494,1.02820981682921,0.00286164318540484,0.162871518618636,0.0446442334017191,0.150830068350502,1.04271751456482,0.00297594617619647,-0.000122225226718731,0.000242320452291132,-7.2633780079101e-06,-0.0145076977356098,-0.000114302990791634,Covered flag + intensidad + ocupacion.,TRUE,FALSE,FALSE,FALSE
traffic_A_core,train,positive_only,3411,1.0067428906479,0.00669938812759478,0,5.10075746451172,0.969149028667102,0.972729957259172,43.6318932781358,0.969148662850143,5.10618053550114,0.969329521942322,0.972904263546096,43.8298234545536,0.969329153449218,-0.00542307098942185,-0.000180493275219629,-0.000174306286924497,-0.197930176417799,-0.000180490599074878,Covered flag + intensidad + ocupacion.,TRUE,FALSE,FALSE,FALSE
traffic_A_core,train,zero_only,145797,0,0,100,0.0453475363829755,0.0226737681914877,0.0290108720643653,0.0226737681914877,0.0226737794306851,0.0453559818588643,0.0226779909294322,0.0289085456143068,0.0226779909294322,0.0226779942731727,-8.44547588883804e-06,-4.22273794441902e-06,0.000102326450058456,-4.22273794441555e-06,-4.214842487648e-06,Covered flag + intensidad + ocupacion.,TRUE,FALSE,FALSE,FALSE
traffic_A_core,validation,overall,74604,0.0216074205136454,0.0218110376007936,97.8674,0.155193699740426,0.0372584371912701,0.146802507689315,1.27483549686245,0.00479390640955651,0.155532483827395,0.037090893765367,0.146838541020533,1.29647924383682,0.00498348408318944,-0.000338784086969246,0.000167543425903145,-3.60333312178773e-05,-0.021643746974368,-0.000189577673632931,Covered flag + intensidad + ocupacion.,TRUE,FALSE,FALSE,FALSE
traffic_A_core,validation,covered_only,67249,0.0220821127451709,0.0223383306949414,97.823,0.157484431688086,0.0379335755188781,0.148542663736703,1.27216072356132,0.00502333056203937,0.157889877834427,0.0375852945566837,0.148582971788623,1.30717228914798,0.00540583390146053,-0.000405446146340999,0.000348280962194372,-4.0308051919985e-05,-0.0350115655866641,-0.000382503339421162,Covered flag + intensidad + ocupacion.,TRUE,FALSE,FALSE,FALSE
traffic_A_core,validation,positive_only,1591,1.01319924575739,0.0180646640497452,0,5.75492633529566,0.985944035341189,0.994992616256108,59.0174958641965,0.985946046820563,5.78755825308859,0.986460664408488,0.995505955233076,60.0407714555654,0.986462712319066,-0.0326319177929335,-0.000516629067299212,-0.000513338976968703,-1.02327559136889,-0.000516665498503266,Covered flag + intensidad + ocupacion.,TRUE,FALSE,FALSE,FALSE
traffic_A_core,validation,zero_only,73013,0,0,100,0.0331719416539434,0.0165859708269717,0.0211572121003469,0.0165859708269717,0.0165861161972683,0.032807037689111,0.0164035188445555,0.0208847639673523,0.0164035188445555,0.0164036623550818,0.000364903964832332,0.000182451982416166,0.0002724481329946,0.000182451982416166,0.000182453842186455,Covered flag + intensidad + ocupacion.,TRUE,FALSE,FALSE,FALSE
traffic_A_core,test,overall,74604,0.0261514127928797,0.0260040292433426,97.409,0.181747668414942,0.0403278606818775,0.160403745363593,52.9791805230527,0.010642556726101,0.182501988736839,0.0399049252405633,0.160472465753578,54.9724888962861,0.0111233386268181,-0.000754320321897178,0.000422935441314179,-6.87203899848443e-05,-1.9933083732334,-0.000480781900717117,Covered flag + intensidad + ocupacion.,TRUE,FALSE,FALSE,FALSE
traffic_A_core,test,covered_only,66417,0.0264239577216676,0.0263283840369561,97.3847,0.182941195443475,0.0408020294143104,0.161370717407858,59.2960029161049,0.0107605526073389,0.18401049600482,0.0401685324423121,0.1614645155341,61.5512076689944,0.0114339039120753,-0.00106930056134452,0.000633496971998292,-9.37981262418286e-05,-2.25520475288947,-0.000673351304736407,Covered flag + intensidad + ocupacion.,TRUE,FALSE,FALSE,FALSE
