model_spec,split,scope,n_rows,target_mean,target_variance,zero_pct,mean_poisson_deviance,mae,rmse,pearson_dispersion,calibration_mean_abs_gap_decile
no_traffic,train,overall,149208,0.0230148517505764,0.0227936155749296,97.7139,0.161049996606558,0.0443191118631956,0.149850700181895,1.02414019923208,0.0029123719388742
no_traffic,train,covered_only,135237,0.0233220198614285,0.0230888398751594,97.6833,0.162871518618636,0.0446442334017191,0.150830068350502,1.04271751456482,0.00297594617619647
no_traffic,train,positive_only,3411,1.0067428906479,0.00669938812759478,0,5.10618053550114,0.969329521942322,0.972904263546096,43.8298234545536,0.969329153449218
no_traffic,train,zero_only,145797,0,0,100,0.0453559818588643,0.0226779909294322,0.0289085456143068,0.0226779909294322,0.0226779942731727
no_traffic,validation,overall,74604,0.0216074205136454,0.0218110376007936,97.8674,0.155532483827395,0.037090893765367,0.146838541020533,1.29647924383682,0.00498348408318944
no_traffic,validation,covered_only,67249,0.0220821127451709,0.0223383306949414,97.823,0.157889877834427,0.0375852945566837,0.148582971788623,1.30717228914798,0.00540583390146053
no_traffic,validation,positive_only,1591,1.01319924575739,0.0180646640497452,0,5.78755825308859,0.986460664408488,0.995505955233076,60.0407714555654,0.986462712319066
no_traffic,validation,zero_only,73013,0,0,100,0.032807037689111,0.0164035188445555,0.0208847639673523,0.0164035188445555,0.0164036623550818
no_traffic,test,overall,74604,0.0261514127928797,0.0260040292433426,97.409,0.182501988736839,0.0399049252405633,0.160472465753578,54.9724888962861,0.0111233386268181
no_traffic,test,covered_only,66417,0.0264239577216676,0.0263283840369561,97.3847,0.18401049600482,0.0401685324423121,0.1614645155341,61.5512076689944,0.0114339039120753
no_traffic,test,positive_only,1933,1.00931195033626,0.0113004062598071,0,5.93244283751385,0.984523466757662,0.990230621858093,2121.10376535806,0.984529032355958
no_traffic,test,zero_only,72671,0,0,100,0.0295574075327,0.01477870376635,0.0188210139789927,0.01477870376635,0.0147787634905142
