model_spec,split,scope,n_rows,target_mean,target_variance,zero_pct,mean_poisson_deviance,mae,rmse,pearson_dispersion,calibration_mean_abs_gap_decile
traffic_A_core,train,overall,149208,0.0230148517505764,0.0227936155749296,97.7139,0.160917768976718,0.0443108594565829,0.149844154543705,1.01961124975025,0.00310600886054797
traffic_A_core,train,covered_only,135237,0.0233220198614285,0.0230888398751594,97.6833,0.162749293391917,0.0448865538540103,0.150822804972494,1.02820981682921,0.00286164318540484
traffic_A_core,train,positive_only,3411,1.0067428906479,0.00669938812759478,0,5.10075746451172,0.969149028667102,0.972729957259172,43.6318932781358,0.969148662850143
traffic_A_core,train,zero_only,145797,0,0,100,0.0453475363829755,0.0226737681914877,0.0290108720643653,0.0226737681914877,0.0226737794306851
traffic_A_core,validation,overall,74604,0.0216074205136454,0.0218110376007936,97.8674,0.155193699740426,0.0372584371912701,0.146802507689315,1.27483549686245,0.00479390640955651
traffic_A_core,validation,covered_only,67249,0.0220821127451709,0.0223383306949414,97.823,0.157484431688086,0.0379335755188781,0.148542663736703,1.27216072356132,0.00502333056203937
traffic_A_core,validation,positive_only,1591,1.01319924575739,0.0180646640497452,0,5.75492633529566,0.985944035341189,0.994992616256108,59.0174958641965,0.985946046820563
traffic_A_core,validation,zero_only,73013,0,0,100,0.0331719416539434,0.0165859708269717,0.0211572121003469,0.0165859708269717,0.0165861161972683
traffic_A_core,test,overall,74604,0.0261514127928797,0.0260040292433426,97.409,0.181747668414942,0.0403278606818775,0.160403745363593,52.9791805230527,0.010642556726101
traffic_A_core,test,covered_only,66417,0.0264239577216676,0.0263283840369561,97.3847,0.182941195443475,0.0408020294143104,0.161370717407858,59.2960029161049,0.0107605526073389
traffic_A_core,test,positive_only,1933,1.00931195033626,0.0113004062598071,0,5.86883435617526,0.983598859979318,0.989301894983031,2044.15492013443,0.983601235926466
traffic_A_core,test,zero_only,72671,0,0,100,0.0304749658590294,0.0152374829295147,0.0195062734199903,0.0152374829295147,0.0152375467805967
traffic_B_core_support,train,overall,149208,0.0230148517505764,0.0227936155749296,97.7139,0.160506609378999,0.0442707804740321,0.149763794678856,1.0247483719022,0.00281702167872995
traffic_B_core_support,train,covered_only,135237,0.0233220198614285,0.0230888398751594,97.6833,0.162428882650987,0.0448507466793785,0.150748269039591,1.02680810459762,0.00259594769306775
traffic_B_core_support,train,positive_only,3411,1.0067428906479,0.00669938812759478,0,5.084525216965,0.968272437523419,0.971864001423398,43.8574839478765,0.968271808637251
traffic_B_core_support,train,zero_only,145797,0,0,100,0.0453065197305432,0.0226532598652716,0.0292640987731415,0.0226532598652716,0.0226532602440707
traffic_B_core_support,validation,overall,74604,0.0216074205136454,0.0218110376007936,97.8674,0.154589324254077,0.0373113490113117,0.146718759656066,1.27146921743907,0.00472080244609556
traffic_B_core_support,validation,covered_only,67249,0.0220821127451709,0.0223383306949414,97.823,0.156930286984708,0.0380295608540333,0.148460937135804,1.25477397944187,0.00510491402276248
traffic_B_core_support,validation,positive_only,1591,1.01319924575739,0.0180646640497452,0,5.71986157514932,0.985062722404538,0.994069100994023,58.8562843541989,0.985064218888693
traffic_B_core_support,validation,zero_only,73013,0,0,100,0.0333184800047739,0.016659240002387,0.0215066965525731,0.0166592400023869,0.0166593885809752
traffic_B_core_support,test,overall,74604,0.0261514127928797,0.0260040292433426,97.409,0.180793862613978,0.0402699500524383,0.16030511309921,51.9130129033676,0.010731998535313
traffic_B_core_support,test,covered_only,66417,0.0264239577216676,0.0263283840369561,97.3847,0.182420659505181,0.0409215435293083,0.161289180132173,58.1016987805988,0.0107304679631216
traffic_B_core_support,test,positive_only,1933,1.00931195033626,0.0113004062598071,0,5.83511111935579,0.98290821900821,0.988527919468667,2003.00779972916,0.982901577942841
traffic_B_core_support,test,zero_only,72671,0,0,100,0.030392805008029,0.0151964025040145,0.0197164678574947,0.0151964025040145,0.0151964656092134
traffic_C_core_support_vmed,train,overall,149208,0.0230148517505764,0.0227936155749296,97.7139,0.160504944757432,0.0442707317578671,0.149763898385646,1.02445796130961,0.00273768696160362
traffic_C_core_support_vmed,train,covered_only,135237,0.0233220198614285,0.0230888398751594,97.6833,0.16242577555646,0.0448506115835409,0.150748249136468,1.02647966746761,0.00259617699269379
traffic_C_core_support_vmed,train,positive_only,3411,1.0067428906479,0.00669938812759478,0,5.08445453210803,0.968271372018358,0.971861918180231,43.8447815294373,0.968270747815641
traffic_C_core_support_vmed,train,zero_only,145797,0,0,100,0.04530646987487,0.022653234937435,0.0292662604595718,0.022653234937435,0.0226532453157562
traffic_C_core_support_vmed,validation,overall,74604,0.0216074205136454,0.0218110376007936,97.8674,0.1545729332584,0.0373258095883456,0.146718247767599,1.26946611029883,0.00468783994411237
traffic_C_core_support_vmed,validation,covered_only,67249,0.0220821127451709,0.0223383306949414,97.823,0.156912111101815,0.0380436245633226,0.148460281255591,1.25285430701717,0.00503272754930425
traffic_C_core_support_vmed,validation,positive_only,1591,1.01319924575739,0.0180646640497452,0,5.71768586547709,0.985037239541875,0.994045703431404,58.7616525721661,0.985038751692909
traffic_C_core_support_vmed,validation,zero_only,73013,0,0,100,0.0333491419450732,0.0166745709725366,0.0215266846626388,0.0166745709725366,0.0166747194977059
traffic_C_core_support_vmed,test,overall,74604,0.0261514127928797,0.0260040292433426,97.409,0.180732611320836,0.0403010798100358,0.160300481556727,51.9373347986189,0.0107032319365755
traffic_C_core_support_vmed,test,covered_only,66417,0.0264239577216676,0.0263283840369561,97.3847,0.182357872716501,0.0409541220704466,0.161284385987107,58.1295648840278,0.0106698236945256
traffic_C_core_support_vmed,test,positive_only,1933,1.00931195033626,0.0113004062598071,0,5.83021500698306,0.982843608332752,0.988463300518065,2003.94523551626,0.982836947192044
traffic_C_core_support_vmed,test,zero_only,72671,0,0,100,0.0304601577862064,0.0152300788931032,0.019763926806407,0.0152300788931032,0.0152301421997361
traffic_D_transformed,train,overall,149208,0.0230148517505764,0.0227936155749296,97.7139,0.160438099370653,0.0442674578942033,0.149756018364509,1.02469478301896,0.00265214855405923
traffic_D_transformed,train,covered_only,135237,0.0233220198614285,0.0230888398751594,97.6833,0.16234557444879,0.0448463671906113,0.150739167668477,1.02707050941131,0.00263791419225619
traffic_D_transformed,train,positive_only,3411,1.0067428906479,0.00669938812759478,0,5.08167371131567,0.96819976742274,0.971792319224649,43.8552124696258,0.968199284056739
